Nimi;Name;longitude;latitude
Rajasaarentie;Rajasaarentie;24.9110579;60.18312581
Korjaamo;Korjaamo;24.9198837;60.1838637
Olympiastadion;Olympic Stadium;24.92496125;60.18449351
Nordenskiöldinaukio;Nordenskiöldinaukio;24.91729243;60.18524611
Messeniuksenkatu;Messeniuksenkatu;24.9180102;60.18783519
Uimastadion;Swimming Stadium;24.92921253;60.18925234
Jäähalli;Ice hall;24.92049714;60.1893228
Stenbäckinkatu;Stenbäckinkatu;24.9123717;60.18830909
Töölöntulli;Töölöntulli;24.91289302;60.19092337
Meilahden sairaala;Meilahti Hospital;24.9083351;60.19021949
Paciuksenkatu;Paciuksenkatu;24.89992612;60.19120614
Jalavatie;Jalavatie;24.90578857;60.19344703
Kuusitie;Kuusitie;24.9018997;60.19524519
Kustaankatu;Kustaankatu;24.95599039;60.1882073
Kiskontie;Kiskontie;24.90123502;60.19901207
Tilkanvierto;Tilkanvierto;24.89925056;60.19757482
Paciuksenkaari;Paciuksenkaari;24.8911179;60.19444749
Seurasaari;Seurasaari;24.88476432;60.18843454
Saunalahdentie;Saunalahdentie;24.8791652;60.19266652
Torpanranta;Torpanranta;24.8713963;60.19483579
Laajalahden aukio;Laajalahden aukio;24.87630126;60.1978706
Munkkiniemen aukio;Munkkiniemen aukio;24.88401939;60.19672379
Huopalahdentie;Huopalahdentie;24.88357649;60.19973292
Ulvilantie;Ulvilantie;24.87087848;60.20386871
Muusantori;Muusantori;24.8559544;60.20711929
Teljäntie;Teljäntie;24.86865672;60.20969043
Munkkivuoren ostoskeskus;Munkkivuori Shopping Center;24.8798066;60.20598341
Vihdintie;Vihdintie;24.8895209;60.20892499
Kriikunakuja;Kriikunakuja;24.8916817;60.20567849
Tilkantori;Tilkantori;24.89336603;60.2027829
Korppaanmäentie;Korppaanmäentie;24.8989297;60.20347349
Tenholantie;Tenholantie;24.9054368;60.20237741
Radiokatu;Radiokatu;24.91821845;60.20500643
Hertanmäenkatu;Hertanmäenkatu;24.92233114;60.20269404
Maistraatintori;Maistraatintori;24.9248734;60.19915098
Esterinportti;Esterinportti;24.9267808;60.19757239
Rautatieläisenkatu;Rautatieläisenkatu;24.9332721;60.20143819
Pasilan asema;Pasila railway station;24.93279908;60.19821086
Ratapihantie;Ratapihantie;24.93663325;60.19642082
Venttiilikuja;Venttiilikuja;24.94152256;60.19419152
Linnanmäki;Linnanmäki Amusement Park;24.9401593;60.19114109
Brahen puistikko;Brahen puistikko;24.9481257;60.1896658
Fleminginkatu;Fleminginkatu;24.9522067;60.18952532
Gebhardinaukio;Gebhardinaukio;24.95507679;60.19118047
Mäkelänkatu;Mäkelänkatu;24.96339047;60.18963599
Vilhonvuorenkatu;Vilhonvuorenkatu;24.96785412;60.1864553
Lintulahdenkatu;Lintulahdenkatu;24.96206338;60.18368091
Näkinsilta;Näkinsilta;24.95544493;60.17975021
Isoisänsilta;Isoisänsilta;24.98179261;60.18265181
Arielinkatu;Arielinkatu;24.97973856;60.18592174
Kalasatama (M);Kalasatama (M);24.97715389;60.18753084
